ndTE,work,cost,LSF,motion,comboName,m,K,LSF,LE
0.018082,0.258036,132.647678,LSF_1,vertical,m100k001,10,0.1,1,0
0.018646,0.267661,131.747424,LSF_1,vertical,m100k001,10,0.1,1,0
0.020718,0.270914,137.239531,LSF_1,vertical,m100k001,10,0.1,1,0
0.018174,0.266424,137.427678,LSF_1,vertical,m100k001,10,0.1,1,0
0.017921,0.261736,136.333699,LSF_1,vertical,m100k001,10,0.1,1,0
0.018387,0.261714,129.748204,LSF_1,vertical,m100k001,10,0.1,1,0
0.016057,0.260454,136.31139,LSF_1,vertical,m100k001,10,0.1,1,0
0.018776,0.267225,143.457633,LSF_1,vertical,m100k001,10,0.1,1,0
0.018357,0.265658,138.994217,LSF_1,vertical,m100k001,10,0.1,1,0
0.020585,0.27122,136.450376,LSF_1,vertical,m100k001,10,0.1,1,0
0.018379,0.266617,131.886173,LSF_1,vertical,m100k001,10,0.1,1,0
0.018281,0.266539,138.080587,LSF_1,vertical,m100k001,10,0.1,1,0
0.01681,0.258291,128.939337,LSF_1,vertical,m100k001,10,0.1,1,0
0.018374,0.262503,135.043896,LSF_1,vertical,m100k001,10,0.1,1,0
0.017275,0.260384,132.65958,LSF_1,vertical,m100k001,10,0.1,1,0
0.018485,0.270207,134.274315,LSF_1,vertical,m100k001,10,0.1,1,0
0.018846,0.271653,150.066949,LSF_1,vertical,m100k001,10,0.1,1,0
0.0182,0.262098,136.937889,LSF_1,vertical,m100k001,10,0.1,1,0
0.018751,0.267931,127.619322,LSF_1,vertical,m100k001,10,0.1,1,0
0.018432,0.266968,135.832881,LSF_1,vertical,m100k001,10,0.1,1,0
0.019222,0.263373,132.864716,LSF_1,vertical,m100k001,10,0.1,1,0
0.01901,0.270624,130.160213,LSF_1,vertical,m100k001,10,0.1,1,0
0.018863,0.25828,136.714144,LSF_1,vertical,m100k001,10,0.1,1,0
0.018221,0.259107,134.713724,LSF_1,vertical,m100k001,10,0.1,1,0
0.018335,0.263195,132.258697,LSF_1,vertical,m100k001,10,0.1,1,0
0.018234,0.262047,133.947263,LSF_1,vertical,m100k001,10,0.1,1,0
0.018646,0.261865,130.975962,LSF_1,vertical,m100k001,10,0.1,1,0
0.015602,0.249022,125.375434,LSF_1,vertical,m100k010,10,1,1,0
0.01642,0.243363,126.292044,LSF_1,vertical,m100k010,10,1,1,0
0.016019,0.247215,124.406698,LSF_1,vertical,m100k010,10,1,1,0
0.016017,0.250185,128.900099,LSF_1,vertical,m100k010,10,1,1,0
0.016272,0.247773,127.106927,LSF_1,vertical,m100k010,10,1,1,0
0.016451,0.248283,126.848807,LSF_1,vertical,m100k010,10,1,1,0
