Tracking_Error,abdo_mass,length_scale,petiole_length,torsional_spring
0.038885,1.0,1.0,0.0,0.1
0.041453,1.0,1.0,0.0,0.1
0.038279,1.0,1.0,0.0,0.1
0.039644,1.0,1.0,0.0,0.1
0.039316000000000004,1.0,1.0,0.0,0.1
0.040856,1.0,1.0,0.0,0.1
0.037698,1.0,1.0,0.0,0.1
0.038027,1.0,1.0,0.0,1.0
0.040666,1.0,1.0,0.0,1.0
0.039563,1.0,1.0,0.0,1.0
0.038313,1.0,1.0,0.0,1.0
0.036907999999999996,1.0,1.0,0.0,1.0
0.038508999999999995,1.0,1.0,0.0,1.0
0.036368,1.0,1.0,0.0,1.0
0.037023,1.0,1.0,0.0,1.0
0.037978,1.0,1.0,0.0,1.0
0.039505,1.0,1.0,0.0,1.0
0.037516,1.0,1.0,0.0,1.0
0.038197,1.0,1.0,0.0,1.0
0.037627999999999995,1.0,1.0,0.0,1.0
0.03782,1.0,1.0,0.0,1.0
0.039429,1.0,1.0,0.0,1.0
0.037945,1.0,1.0,0.0,1.0
0.038554000000000005,1.0,1.0,0.0,1.0
0.037982999999999996,1.0,1.0,0.0,1.0
0.040228,1.0,1.0,0.0,1.0
0.038824000000000004,1.0,1.0,0.0,1.0
0.037699,1.0,1.0,0.0,1.0
0.036998,1.0,1.0,0.0,1.0
0.035936,1.0,1.0,0.0,1.0
0.03594,1.0,1.0,0.0,1.0
0.038326,1.0,1.0,0.0,1.0
0.037801999999999995,1.0,1.0,0.0,1.0
0.038592,1.0,1.0,0.0,1.0
0.036854000000000005,1.0,1.0,0.0,1.0
0.037247,1.0,1.0,0.0,1.0
0.03798,1.0,1.0,0.0,1.0
0.037929000000000004,1.0,1.0,0.0,1.0
0.038209,1.0,1.0,0.0,1.0
0.037191,1.0,1.0,0.0,1.0
0.038516,1.0,1.0,0.0,1.0
0.038171,1.0,1.0,0.0,1.0
0.036519,1.0,1.0,0.0,1.0
0.037401,1.0,1.0,0.0,1.0
0.037751,1.0,1.0,0.0,1.0
0.037828,1.0,1.0,0.0,1.0
0.038396,1.0,1.0,0.0,1.0
0.040319,1.0,1.0,0.0,10.0
0.042612,1.0,1.0,0.0,10.0
0.036382,1.0,1.0,0.0,10.0
0.039874,1.0,1.0,0.0,10.0
0.036521,1.0,1.0,0.0,10.0
0.039774000000000004,1.0,1.0,0.0,10.0
0.037023,1.0,1.0,0.0,10.0
0.038419999999999996,1.0,1.0,0.0,10.0
0.040267000000000004,1.0,1.0,0.0,10.0
0.039524000000000004,1.0,1.0,0.0,10.0
0.039213,1.0,1.0,0.0,10.0
0.040664,1.0,1.0,0.0,10.0
0.037129,1.0,1.0,0.0,10.0
0.035506,1.0,1.0,0.0,10.0
0.039298,1.0,1.0,0.0,10.0
0.038024,1.0,1.0,0.0,10.0
0.037565,1.0,1.0,0.0,10.0
0.040401,1.0,1.0,0.0,10.0
0.039195,1.0,1.0,0.0,10.0
0.037545999999999996,1.0,1.0,0.0,10.0
0.036451,1.0,1.0,0.0,10.0
0.038014,1.0,1.0,0.0,10.0
